Player,Team,Opp,Home,Round,Game,Prediction,O/U,Line Diff,Prob,Wager,Bet ID,O/U bet,Actual,Diff,Correct,Win,Money
Ja Morant,Memphis Grizzlies,Utah Jazz,1,1,3,23.5,24.5,1.0,0.578,12.41,25,0,28,4.5,0,0,1030.23
Donovan Mitchell,Utah Jazz,Memphis Grizzlies,0,1,3,26.6,24.5,-2.1,0.61,12.41,25,1,29,2.4,1,0,1030.23
Damian Lillard,Portland Trail Blazers,Denver Nuggets,1,1,4,29.5,33.5,4.0,0.745,101.56,26,0,10,-19.5,1,1,1294.286
Nikola Jokić,Denver Nuggets,Portland Trail Blazers,0,1,4,27.3,32.5,5.2,0.801,101.56,26,0,16,-11.3,1,1,1294.286
Jimmy Butler,Miami Heat,Milwaukee Bucks,1,1,4,21.8,22.5,0.7,0.56,9.56,27,0,12,-9.8,1,1,1319.142
Giannis Antetokounmpo,Milwaukee Bucks,Miami Heat,0,1,4,27.3,28.5,1.2,0.59,9.56,27,0,20,-7.3,1,1,1319.142
Bradley Beal,Washington Wizards,Philadelphia 76ers,1,1,3,31.1,31.5,0.4,0.542,15.95,28,0,25,-6.1,1,0,1303.192
Joel Embiid,Philadelphia 76ers,Washington Wizards,0,1,3,27.5,30.5,3.0,0.693,15.95,28,0,36,8.5,0,0,1303.192
Trae Young,Atlanta Hawks,New York Knicks,1,1,4,26.3,24.5,-1.8,0.596,12.26,29,1,27,0.7,1,0,1290.932
Julius Randle,New York Knicks,Atlanta Hawks,0,1,4,24.2,22.5,-1.7,0.59,12.26,29,1,23,-1.2,0,0,1290.932
Anthony Davis,Los Angeles Lakers,Phoenix Suns,1,1,4,24.6,26.5,1.9,0.627,19.79,30,0,6,-18.6,1,1,1342.386
Devin Booker,Phoenix Suns,Los Angeles Lakers,0,1,4,26.5,28.5,2.0,0.633,19.79,30,0,17,-9.5,1,1,1342.386
Luka Dončić,Dallas Mavericks,Los Angeles Clippers,1,1,4,30.8,33.5,2.7,0.658,87.11,31,0,19,-11.8,1,1,1568.872
